Item you want: Block you need to mine
acacia_button: waxed_weathered_cut_copper_stairs
cyan_carpet: sculk
cyan_concrete: cinnabar
cyan_concrete_powder: green_candle_cake
cyan_glazed_terracotta: azalea_leaves
cyan_shulker_box: tuff_stairs
cyan_stained_glass: red_stained_glass
cyan_stained_glass_pane: chorus_flower
cyan_terracotta: polished_sulfur_stairs
cyan_wool: magenta_candle
damaged_anvil: mangrove_button
dandelion: gilded_blackstone
dark_oak_button: potted_dandelion
dark_oak_door: short_dry_grass
dark_oak_fence: cyan_glazed_terracotta
dark_oak_fence_gate: deepslate_bricks
dark_oak_hanging_sign: bamboo_planks
dark_oak_leaves: chiseled_sandstone
dark_oak_log: waxed_chiseled_copper
dark_oak_planks: red_candle
dark_oak_pressure_plate: birch_hanging_sign
dark_oak_sapling: heavy_weighted_pressure_plate
dark_oak_shelf: oak_log
dark_oak_sign: dead_bush
dark_oak_slab: dark_oak_door
dark_oak_stairs: scaffolding
dark_oak_trapdoor: stripped_dark_oak_log
dark_oak_wood: white_carpet
dark_prismarine: brick_stairs
dark_prismarine_slab: jungle_stairs
dark_prismarine_stairs: brewing_stand
daylight_detector: moss_block
dead_brain_coral: light_blue_stained_glass
dead_brain_coral_block: lime_stained_glass_pane
dead_brain_coral_fan: brown_wool
dead_bubble_coral: polished_deepslate
dead_bubble_coral_block: blast_furnace
dead_bubble_coral_fan: green_stained_glass_pane
dead_bush: deepslate_emerald_ore
dead_fire_coral: waxed_copper_block
dead_fire_coral_block: calibrated_sculk_sensor
dead_fire_coral_fan: stripped_acacia_log
dead_horn_coral: magenta_bed
dead_horn_coral_block: potted_mangrove_propagule
dead_horn_coral_fan: dark_oak_planks
dead_tube_coral: cinnabar_bricks
dead_tube_coral_block: orange_bed
dead_tube_coral_fan: oak_door
decorated_pot: potted_azure_bluet
deepslate: bamboo_trapdoor
deepslate_bricks: waxed_copper_trapdoor
deepslate_brick_slab: cracked_deepslate_tiles
deepslate_brick_stairs: quartz_stairs
deepslate_brick_wall: end_stone_brick_slab
deepslate_coal_ore: crimson_fence
deepslate_copper_ore: acacia_hanging_sign
deepslate_diamond_ore: warped_fungus
deepslate_emerald_ore: cyan_terracotta
deepslate_gold_ore: mossy_cobblestone_stairs
deepslate_iron_ore: stripped_bamboo_block
deepslate_lapis_ore: pale_oak_hanging_sign
deepslate_redstone_ore: azalea
deepslate_tiles: nether_sprouts
deepslate_tile_slab: copper_bars
deepslate_tile_stairs: stripped_pale_oak_wood
deepslate_tile_wall: suspicious_sand
detector_rail: warped_stem
diamond_block: terracotta
diamond_ore: mangrove_slab
diorite: birch_fence
diorite_slab: smooth_quartz_stairs
diorite_stairs: polished_basalt
diorite_wall: bamboo_pressure_plate
dirt: lodestone
dirt_path: stone_brick_stairs
dispenser: birch_fence_gate
dragon_egg: light_gray_carpet
dragon_head: spruce_shelf
dried_ghast: blue_banner
dried_kelp_block: mossy_cobblestone_slab
dripstone_block: waxed_exposed_copper_trapdoor
dropper: gray_terracotta
emerald_block: bamboo_mosaic_slab
emerald_ore: waxed_weathered_copper_chain
enchanting_table: pink_candle_cake
ender_chest: oak_wood
end_rod: resin_block
end_stone: redstone_torch
end_stone_bricks: chiseled_copper
end_stone_brick_slab: carved_pumpkin
end_stone_brick_stairs: red_mushroom_block
end_stone_brick_wall: flowering_azalea
exposed_chiseled_copper: acacia_log
exposed_copper: warped_shelf
exposed_copper_bars: sandstone_wall
exposed_copper_bulb: jungle_log
exposed_copper_chain: sticky_piston
exposed_copper_chest: granite
exposed_copper_door: orange_tulip
exposed_copper_golem_statue: mossy_cobblestone
exposed_copper_grate: soul_campfire
exposed_copper_lantern: andesite_slab
exposed_copper_trapdoor: gray_glazed_terracotta
exposed_cut_copper: podzol
exposed_cut_copper_slab: medium_amethyst_bud
exposed_cut_copper_stairs: birch_sign
exposed_lightning_rod: cherry_sign
farmland: torchflower
fern: dead_brain_coral_block
fire: potted_acacia_sapling
firefly_bush: nether_gold_ore
fire_coral: cinnabar_brick_stairs
fire_coral_block: cyan_banner
fire_coral_fan: tall_grass
fletching_table: waxed_exposed_copper_lantern
flowering_azalea: yellow_carpet
flowering_azalea_leaves: mangrove_shelf
flower_pot: cut_sandstone_slab
frogspawn: waxed_oxidized_copper_chain
frosted_ice: stone
furnace: spore_blossom
gilded_blackstone: small_amethyst_bud
glass: waxed_exposed_copper
glass_pane: waxed_weathered_copper_bulb
glowstone: oak_sapling
glow_lichen: rail
golden_dandelion: waxed_weathered_copper_grate
gold_block: stripped_pale_oak_log
gold_ore: waxed_exposed_copper_bars
granite: end_stone
granite_slab: calcite
granite_stairs: jungle_fence_gate
granite_wall: white_concrete_powder
grass_block: red_sandstone_wall
gravel: tuff
gray_banner: sulfur_brick_wall
gray_bed: oxidized_lightning_rod
gray_candle: yellow_glazed_terracotta
gray_candle_cake: heavy_core
gray_carpet: enchanting_table
gray_concrete: black_wool
gray_concrete_powder: green_concrete
gray_glazed_terracotta: twisting_vines
gray_shulker_box: potted_warped_roots
gray_stained_glass: cinnabar_slab
gray_stained_glass_pane: red_concrete
gray_terracotta: weathered_copper
gray_wool: weathered_cut_copper
green_banner: emerald_block
green_bed: prismarine
green_candle: frogspawn
green_candle_cake: wet_sponge
green_carpet: lime_banner
green_concrete: cherry_stairs
green_concrete_powder: waxed_oxidized_lightning_rod
green_glazed_terracotta: cherry_fence
green_shulker_box: pale_oak_pressure_plate
green_stained_glass: waxed_weathered_lightning_rod
green_stained_glass_pane: polished_andesite_stairs
green_terracotta: weathered_cut_copper_slab
green_wool: weathered_copper_golem_statue
grindstone: redstone_ore
hanging_roots: acacia_planks
hay_block: cactus_flower
heavy_core: cobbled_deepslate_wall
heavy_weighted_pressure_plate: granite_stairs
honeycomb_block: spruce_trapdoor
honey_block: red_shulker_box
hopper: deepslate_diamond_ore
horn_coral: crimson_pressure_plate
horn_coral_block: tuff_bricks
horn_coral_fan: horn_coral
ice: exposed_copper_lantern
infested_chiseled_stone_bricks: light_blue_candle_cake
infested_cobblestone: waxed_weathered_copper_lantern
infested_cracked_stone_bricks: quartz_bricks
infested_deepslate: cave_vines_plant
infested_mossy_stone_bricks: sculk_vein
infested_stone: potted_fern
infested_stone_bricks: acacia_leaves
iron_bars: lilac
iron_block: pale_moss_carpet
iron_chain: yellow_wool
iron_door: vine
iron_ore: stripped_dark_oak_wood
iron_trapdoor: waxed_weathered_copper_trapdoor
jack_o_lantern: oak_planks
jukebox: smooth_stone_slab
jungle_button: stone_slab
jungle_door: beacon
jungle_fence: infested_stone
jungle_fence_gate: exposed_copper_grate
jungle_hanging_sign: dark_oak_shelf
jungle_leaves: cobweb
jungle_log: pink_terracotta
jungle_planks: waxed_copper_lantern
jungle_pressure_plate: waxed_exposed_copper_chest
jungle_sapling: potted_pale_oak_sapling
jungle_shelf: stripped_spruce_wood
jungle_sign: lime_shulker_box
jungle_slab: potted_azalea_bush
jungle_stairs: tnt
jungle_trapdoor: beehive
jungle_wood: infested_mossy_stone_bricks
kelp: red_nether_brick_wall
kelp_plant: copper_grate
ladder: warped_planks
lantern: mangrove_planks
lapis_block: iron_trapdoor
lapis_ore: dried_ghast
large_amethyst_bud: melon
large_fern: waxed_oxidized_copper_trapdoor
lava_cauldron: smooth_quartz
leaf_litter: lime_candle_cake
lectern: birch_sapling
lever: orange_wool
lightning_rod: pale_oak_fence_gate
light_blue_banner: yellow_concrete_powder
light_blue_bed: birch_pressure_plate
light_blue_candle: lime_wool
light_blue_candle_cake: crimson_hanging_sign
light_blue_carpet: deepslate_copper_ore
light_blue_concrete: polished_blackstone
light_blue_concrete_powder: infested_cobblestone
light_blue_glazed_terracotta: potted_bamboo
light_blue_shulker_box: lapis_ore
light_blue_stained_glass: dead_tube_coral_block
light_blue_stained_glass_pane: dead_bubble_coral_fan
light_blue_terracotta: light_gray_wool
light_blue_wool: stripped_warped_stem
light_gray_banner: pink_concrete_powder
light_gray_bed: smooth_basalt
light_gray_candle: crimson_fence_gate
light_gray_candle_cake: coarse_dirt
light_gray_carpet: conduit
light_gray_concrete: bamboo
light_gray_concrete_powder: mangrove_pressure_plate
light_gray_glazed_terracotta: stripped_jungle_wood
light_gray_shulker_box: light_blue_terracotta
light_gray_stained_glass: wither_rose
light_gray_stained_glass_pane: birch_wood
light_gray_terracotta: bone_block
light_gray_wool: jungle_shelf
light_weighted_pressure_plate: crimson_slab
lilac: resin_clump
lily_of_the_valley: jungle_leaves
lily_pad: blue_wool
lime_banner: tuff_slab
lime_bed: stripped_oak_log
lime_candle: amethyst_block
lime_candle_cake: chiseled_bookshelf
lime_carpet: spruce_fence
lime_concrete: black_concrete_powder
lime_concrete_powder: oak_fence_gate
lime_glazed_terracotta: note_block
lime_shulker_box: stripped_mangrove_log
lime_stained_glass: player_head
lime_stained_glass_pane: cobbled_deepslate_stairs
lime_terracotta: pitcher_plant
lime_wool: lime_glazed_terracotta
lodestone: pink_concrete
loom: white_bed
magenta_banner: end_stone_brick_wall
magenta_bed: sculk_catalyst
magenta_candle: cut_copper_stairs
magenta_candle_cake: crimson_stairs
magenta_carpet: copper_block
magenta_concrete: cracked_polished_blackstone_bricks
magenta_concrete_powder: flower_pot
magenta_glazed_terracotta: potted_pink_tulip
magenta_shulker_box: green_wool
magenta_stained_glass: chiseled_tuff_bricks
magenta_stained_glass_pane: polished_sulfur_slab
magenta_terracotta: azure_bluet
magenta_wool: pumpkin
magma_block: crimson_sign
mangrove_button: glow_lichen
mangrove_door: green_glazed_terracotta
mangrove_fence: spruce_fence_gate
mangrove_fence_gate: oxidized_copper_chain
mangrove_hanging_sign: dark_oak_wood
mangrove_leaves: potted_blue_orchid
mangrove_log: waxed_oxidized_copper_door
mangrove_planks: waxed_oxidized_copper_bars
mangrove_pressure_plate: tall_dry_grass
mangrove_propagule: spruce_hanging_sign
mangrove_roots: waxed_oxidized_cut_copper_stairs
mangrove_shelf: sand
mangrove_sign: jungle_sapling
mangrove_slab: cobblestone
mangrove_stairs: fire
mangrove_trapdoor: stripped_birch_log
mangrove_wood: sulfur_stairs
medium_amethyst_bud: clay
melon: polished_tuff
melon_stem: exposed_lightning_rod
mossy_cobblestone: red_wool
mossy_cobblestone_slab: lapis_block
mossy_cobblestone_stairs: lily_pad
mossy_cobblestone_wall: red_concrete_powder
mossy_stone_bricks: oxidized_copper
mossy_stone_brick_slab: weathered_lightning_rod
mossy_stone_brick_stairs: spawner
mossy_stone_brick_wall: green_candle
moss_block: mangrove_stairs
moss_carpet: mangrove_trapdoor
mud: jungle_pressure_plate
muddy_mangrove_roots: powder_snow_cauldron
mud_bricks: zombie_head
mud_brick_slab: pink_bed
mud_brick_stairs: green_banner
mud_brick_wall: light_gray_banner
mushroom_stem: waxed_oxidized_cut_copper
mycelium: potted_crimson_fungus
netherite_block: blue_shulker_box
netherrack: composter
nether_bricks: purple_stained_glass
nether_brick_fence: open_eyeblossom
nether_brick_slab: deepslate_tile_wall
nether_brick_stairs: orange_glazed_terracotta
nether_brick_wall: resin_brick_wall
nether_gold_ore: potted_golden_dandelion
nether_portal: nether_bricks
nether_quartz_ore: potted_spruce_sapling
nether_sprouts: peony
nether_wart: bookshelf
nether_wart_block: cobblestone_stairs
note_block: potted_white_tulip
oak_button: magma_block
oak_door: light_gray_glazed_terracotta
oak_fence: farmland
oak_fence_gate: powered_rail
oak_hanging_sign: sugar_cane
oak_leaves: spruce_sapling
oak_log: stone_pressure_plate
oak_planks: dropper
oak_pressure_plate: beetroots
oak_sapling: warped_fence
oak_shelf: oak_pressure_plate
oak_sign: deepslate_tile_stairs
oak_slab: cyan_carpet
oak_stairs: polished_blackstone_wall
oak_trapdoor: wildflowers
oak_wood: cut_sandstone
observer: coal_ore
obsidian: suspicious_gravel
ochre_froglight: potted_cornflower
open_eyeblossom: waxed_oxidized_copper_chest
orange_banner: tall_seagrass
orange_bed: light_blue_concrete_powder
orange_candle: glass
orange_candle_cake: blue_candle_cake
orange_carpet: cherry_fence_gate
orange_concrete: white_wool
orange_concrete_powder: potent_sulfur
orange_glazed_terracotta: dark_oak_fence
orange_shulker_box: dirt
orange_stained_glass: smooth_sandstone
orange_stained_glass_pane: polished_blackstone_pressure_plate
orange_terracotta: weathered_cut_copper_stairs
orange_tulip: smooth_red_sandstone_slab
orange_wool: birch_button
oxeye_daisy: cyan_candle_cake
oxidized_chiseled_copper: purple_banner
oxidized_copper: copper_chain
oxidized_copper_bars: dark_oak_hanging_sign
oxidized_copper_bulb: dark_prismarine
oxidized_copper_chain: pale_oak_fence
oxidized_copper_chest: white_banner
oxidized_copper_door: cut_copper_slab
oxidized_copper_golem_statue: red_stained_glass_pane
oxidized_copper_grate: deepslate_brick_wall
oxidized_copper_lantern: blackstone_slab
oxidized_copper_trapdoor: golden_dandelion
oxidized_cut_copper: chiseled_cinnabar
oxidized_cut_copper_slab: pumpkin_stem
oxidized_cut_copper_stairs: polished_tuff_wall
oxidized_lightning_rod: prismarine_brick_stairs
packed_ice: polished_blackstone_stairs
packed_mud: magenta_shulker_box
pale_hanging_moss: pale_oak_button
pale_moss_block: basalt
pale_moss_carpet: chipped_anvil
pale_oak_button: oxidized_copper_chest
pale_oak_door: ancient_debris
pale_oak_fence: budding_amethyst
pale_oak_fence_gate: crimson_door
pale_oak_hanging_sign: yellow_bed
pale_oak_leaves: purple_candle_cake
pale_oak_log: light_gray_concrete_powder
pale_oak_planks: pale_oak_slab
pale_oak_pressure_plate: loom
pale_oak_sapling: bubble_coral_fan
pale_oak_shelf: honey_block
pale_oak_sign: bamboo_fence_gate
pale_oak_slab: brain_coral_fan
pale_oak_stairs: wheat
pale_oak_trapdoor: obsidian
pale_oak_wood: prismarine_slab
pearlescent_froglight: purple_candle
peony: orange_candle
petrified_oak_slab: prismarine_brick_slab
piglin_head: respawn_anchor
pink_banner: tinted_glass
pink_bed: rooted_dirt
pink_candle: potted_crimson_roots
pink_candle_cake: green_carpet
pink_carpet: sulfur_slab
pink_concrete: slime_block
pink_concrete_powder: polished_blackstone_button
pink_glazed_terracotta: waxed_copper_bulb
pink_petals: soul_soil
pink_shulker_box: pale_hanging_moss
pink_stained_glass: end_rod
pink_stained_glass_pane: tuff_brick_stairs
pink_terracotta: sponge
pink_tulip: black_candle_cake
pink_wool: bamboo_block
piston: polished_deepslate_wall
pitcher_crop: stonecutter
pitcher_plant: crimson_hyphae
player_head: piglin_head
podzol: pink_shulker_box
pointed_dripstone: gray_candle
polished_andesite: magenta_banner
polished_andesite_slab: yellow_shulker_box
polished_andesite_stairs: oxidized_cut_copper
polished_basalt: spruce_stairs
polished_blackstone: frosted_ice
polished_blackstone_bricks: gray_concrete_powder
polished_blackstone_brick_slab: waxed_oxidized_copper_golem_statue
polished_blackstone_brick_stairs: warped_slab
polished_blackstone_brick_wall: deepslate_brick_slab
polished_blackstone_button: big_dripleaf
polished_blackstone_pressure_plate: mangrove_wood
polished_blackstone_slab: dark_oak_fence_gate
polished_blackstone_stairs: yellow_banner
polished_blackstone_wall: oxidized_copper_trapdoor
polished_cinnabar: muddy_mangrove_roots
polished_cinnabar_slab: light_blue_stained_glass_pane
polished_cinnabar_stairs: exposed_chiseled_copper
polished_cinnabar_wall: sulfur_brick_stairs
polished_deepslate: oxidized_cut_copper_stairs
polished_deepslate_slab: green_bed
polished_deepslate_stairs: potted_orange_tulip
polished_deepslate_wall: bamboo_door
polished_diorite: brown_carpet
polished_diorite_slab: stone_brick_wall
polished_diorite_stairs: crimson_shelf
polished_granite: acacia_stairs
polished_granite_slab: purpur_stairs
polished_granite_stairs: spruce_wood
polished_sulfur: red_sand
polished_sulfur_slab: polished_cinnabar
polished_sulfur_stairs: gray_stained_glass
polished_sulfur_wall: potted_open_eyeblossom
polished_tuff: netherite_block
polished_tuff_slab: pale_oak_leaves
polished_tuff_stairs: brown_bed
polished_tuff_wall: brick_wall
poppy: brown_stained_glass_pane
potatoes: cocoa
potent_sulfur: sculk_sensor
potted_acacia_sapling: cut_copper
potted_allium: deepslate_gold_ore
potted_azalea_bush: brain_coral
potted_azure_bluet: dark_oak_log
potted_bamboo: crimson_fungus
potted_birch_sapling: fire_coral
potted_blue_orchid: spruce_log
potted_brown_mushroom: purpur_pillar
potted_cactus: polished_diorite
potted_cherry_sapling: bush
potted_closed_eyeblossom: pink_glazed_terracotta
potted_cornflower: light_gray_concrete
potted_crimson_fungus: red_candle_cake
potted_crimson_roots: acacia_sign
potted_dandelion: chiseled_deepslate
potted_dark_oak_sapling: potted_cactus
potted_dead_bush: cherry_sapling
potted_fern: torchflower_crop
potted_flowering_azalea_bush: pink_stained_glass_pane
potted_golden_dandelion: waxed_exposed_cut_copper_slab
potted_jungle_sapling: dark_oak_sign
potted_lily_of_the_valley: mangrove_hanging_sign
potted_mangrove_propagule: dirt_path
potted_oak_sapling: cyan_stained_glass
potted_open_eyeblossom: jukebox
potted_orange_tulip: purple_terracotta
potted_oxeye_daisy: smithing_table
potted_pale_oak_sapling: polished_blackstone_brick_wall
potted_pink_tulip: light_gray_candle_cake
potted_poppy: cherry_leaves
potted_red_mushroom: tuff_wall
potted_red_tulip: polished_diorite_slab
potted_spruce_sapling: polished_blackstone_bricks
potted_torchflower: polished_diorite_stairs
potted_warped_fungus: oak_hanging_sign
potted_warped_roots: oak_leaves
potted_white_tulip: weathered_copper_bars
potted_wither_rose: blackstone_stairs
powder_snow: blue_glazed_terracotta
powder_snow_cauldron: dark_prismarine_stairs
powered_rail: cracked_stone_bricks
prismarine: birch_door
prismarine_bricks: dead_fire_coral_fan
prismarine_brick_slab: light_gray_stained_glass
prismarine_brick_stairs: pink_banner
prismarine_slab: creeper_head
prismarine_stairs: stripped_crimson_stem
prismarine_wall: oxidized_cut_copper_slab
pumpkin: soul_torch
pumpkin_stem: waxed_exposed_copper_grate
purple_banner: stone_stairs
purple_bed: sandstone
purple_candle: fire_coral_fan
purple_candle_cake: iron_block
purple_carpet: nether_wart
purple_concrete: acacia_door
purple_concrete_powder: prismarine_stairs
purple_glazed_terracotta: pale_oak_wood
purple_shulker_box: oxidized_copper_bulb
purple_stained_glass: bubble_coral
purple_stained_glass_pane: yellow_terracotta
purple_terracotta: red_banner
purple_wool: crimson_stem
purpur_block: damaged_anvil
purpur_pillar: cyan_concrete
purpur_slab: purple_wool
purpur_stairs: torch
quartz_block: pale_moss_block
quartz_bricks: flowering_azalea_leaves
quartz_pillar: purple_concrete_powder
quartz_slab: large_amethyst_bud
quartz_stairs: closed_eyeblossom
rail: moss_carpet
raw_copper_block: potted_jungle_sapling
raw_gold_block: red_mushroom
raw_iron_block: black_shulker_box
redstone_block: mangrove_door
redstone_lamp: mangrove_fence
redstone_ore: stripped_spruce_log
redstone_torch: magenta_stained_glass
redstone_wire: dead_bubble_coral
red_banner: dark_oak_leaves
red_bed: skeleton_skull
red_candle: weathered_copper_bulb
red_candle_cake: acacia_button
red_carpet: potted_warped_fungus
red_concrete: magenta_concrete
red_concrete_powder: exposed_copper_bulb
red_glazed_terracotta: cinnabar_wall
red_mushroom: repeater
red_mushroom_block: waxed_exposed_cut_copper_stairs
red_nether_bricks: cherry_button
red_nether_brick_slab: chiseled_nether_bricks
red_nether_brick_stairs: crimson_nylium
red_nether_brick_wall: potted_brown_mushroom
red_sand: exposed_copper_door
